id,author,pipeline_tag,library_clean,K-Means,DBSCAN,Agglomerative
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,sentence-similarity,sentence-transformers,0,-1,0
google-bert/bert-base-uncased,google-bert,fill-mask,transformers,0,0,0
cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder,text-ranking,sentence-transformers,0,-1,0
BAAI/bge-small-en-v1.5,BAAI,feature-extraction,sentence-transformers,0,0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,sentence-similarity,sentence-transformers,0,-1,0
google/electra-base-discriminator,google,unknown,transformers,0,-1,0
BAAI/bge-m3,BAAI,sentence-similarity,sentence-transformers,0,0,0
Qwen/Qwen3-0.6B,Qwen,text-generation,transformers,2,0,0
sentence-transformers/all-mpnet-base-v2,sentence-transformers,sentence-similarity,sentence-transformers,0,-1,0
lpiccinelli/unidepth-v2-vitl14,lpiccinelli,unknown,UniDepth,4,-1,0
google-t5/t5-small,google-t5,translation,transformers,0,0,0
amazon/chronos-2,amazon,time-series-forecasting,chronos-forecasting,0,-1,0
openai/clip-vit-base-patch32,openai,zero-shot-image-classification,transformers,0,0,0
FacebookAI/xlm-roberta-base,FacebookAI,fill-mask,transformers,0,1,0
BAAI/bge-reranker-v2-m3,BAAI,text-classification,sentence-transformers,0,0,0
timm/mobilenetv3_small_100.lamb_in1k,timm,image-classification,timm,0,0,0
facebook/opt-125m,facebook,text-generation,transformers,2,0,0
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,trl-internal-testing,text-generation,transformers,0,-1,0
Qwen/Qwen3-8B,Qwen,text-generation,transformers,2,0,0
intfloat/multilingual-e5-small,intfloat,sentence-similarity,sentence-transformers,0,-1,0
nomic-ai/nomic-embed-text-v1.5,nomic-ai,sentence-similarity,sentence-transformers,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,Qwen,text-generation,transformers,2,0,0
openai-community/gpt2,openai-community,text-generation,transformers,0,0,0
autogluon/chronos-bolt-small,autogluon,time-series-forecasting,missing,0,0,0
BAAI/bge-large-en-v1.5,BAAI,feature-extraction,sentence-transformers,0,0,0
google/gemma-4-26B-A4B-it,google,image-text-to-text,transformers,2,0,0
autogluon/chronos-2,autogluon,time-series-forecasting,chronos-forecasting,4,0,0
FacebookAI/roberta-large,FacebookAI,fill-mask,transformers,0,0,0
google/gemma-4-31B-it,google,image-text-to-text,transformers,2,0,0
Qwen/Qwen2.5-7B-Instruct,Qwen,text-generation,transformers,2,0,0
cross-encoder/ms-marco-MiniLM-L4-v2,cross-encoder,text-ranking,sentence-transformers,0,0,0
Qwen/Qwen3.5-9B,Qwen,image-text-to-text,transformers,2,0,0
FacebookAI/roberta-base,FacebookAI,fill-mask,transformers,0,0,0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-transformers,sentence-similarity,sentence-transformers,0,-1,0
hexgrad/Kokoro-82M,hexgrad,text-to-speech,missing,0,-1,0
Bingsu/adetailer,Bingsu,unknown,ultralytics,4,0,0
meta-llama/Llama-3.2-1B-Instruct,meta-llama,text-generation,transformers,0,0,0
distilbert/distilbert-base-uncased,distilbert,fill-mask,transformers,0,0,0
Qwen/Qwen3-Embedding-0.6B,Qwen,feature-extraction,sentence-transformers,2,0,0
nvidia/Qwen3.6-35B-A3B-NVFP4,nvidia,text-generation,Model Optimizer,1,-1,1
Qwen/Qwen3-32B,Qwen,text-generation,transformers,2,0,0
deepseek-ai/DeepSeek-R1,deepseek-ai,text-generation,transformers,2,0,0
openai/clip-vit-large-patch14,openai,zero-shot-image-classification,transformers,0,0,0
coqui/XTTS-v2,coqui,text-to-speech,coqui,4,-1,0
Qwen/Qwen2.5-VL-7B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
