id,author,pipeline_tag,downloads,likes,model_age_days,days_since_update,tag_count,gated_flag,z_score,z_classical_flag,z_equal_budget_flag,z_most_extreme_feature,isolation_score,isolation_flag,lof_score,lof_flag,agreement_count
DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,DavidAU,image-text-to-text,955767,1011,12.98105324074074,0.6784490740740741,37,0,4.78836115196757,True,True,model_id_length,0.6468103791320186,True,1.6580745417846796,True,3
k2-fsa/OmniVoice,k2-fsa,text-to-speech,859784,1222,121.42809027777778,26.852581018518517,657,0,6.133123225044554,True,True,log_tag_count,0.6375697008018142,True,1.8789417922378626,True,3
nvidia/Qwen3-VL-235B-A22B-Instruct-NVFP4-MLPerf-Inference-Closed-V6.1-FP8-KV,nvidia,unknown,413713,3,44.22912037037037,42.2115162037037,5,0,4.490972044318044,True,True,model_id_length,0.632814764284524,True,1.2892487722122647,True,3
DeepBeepMeep/Wan2.1,DeepBeepMeep,unknown,380932,45,516.5978472222222,0.28564814814814815,8,0,3.6467412203715193,True,True,log_days_since_update,0.5724508027421452,True,1.4323477261552429,True,3
lpiccinelli/unidepth-v2-vitl14,lpiccinelli,unknown,27002738,47,777.4725925925926,516.4197106481481,7,0,3.274959342050783,True,True,log_downloads,0.5666369520524042,True,1.3643668286443944,True,3
trl-internal-testing/tiny-Qwen3_5ForConditionalGeneration-NoThink,trl-internal-testing,image-text-to-text,418724,0,68.33295138888889,68.33292824074074,8,0,3.4005453162697816,True,True,model_id_length,0.5635497146706919,True,1.3287751917156716,True,3
trl-internal-testing/tiny-Qwen3_5MoeForConditionalGeneration-3.6,trl-internal-testing,image-text-to-text,410277,0,95.14887731481481,95.11998842592592,8,0,3.3014156137199393,True,True,model_id_length,0.5589167428238427,True,1.3113069392595023,True,3
SulphurAI/Sulphur-2-base,SulphurAI,text-to-video,428061,1939,87.97680555555556,35.24847222222222,9,0,3.121086079336202,True,False,log_pipeline_model_count,0.6076046383728421,True,1.4051284153885293,True,2
bottlecapai/ThinkingCap-Qwen3.6-27B-GGUF,bottlecapai,image-text-to-text,382641,208,28.948252314814816,5.456597222222222,11,0,2.577629707617557,False,False,log_model_age_days,0.5918379580405608,True,1.3491751846413276,True,2
hexgrad/Kokoro-82M,hexgrad,text-to-speech,11092465,6611,580.9860185185186,475.24111111111114,9,0,2.359461190995421,False,False,log_downloads,0.576609701180106,True,1.365653441144947,True,2
coqui/XTTS-v2,coqui,text-to-speech,9187102,3698,1002.5753125,961.2569444444445,4,0,2.7264212997239885,False,False,log_library_model_count,0.5710126146147728,True,1.4005641336793733,True,2
trl-internal-testing/tiny-Qwen2_5_VLForConditionalGeneration,trl-internal-testing,image-text-to-text,1118701,0,374.9020486111111,7.24574074074074,9,0,2.904896803520571,False,False,model_id_length,0.5621662916905392,True,1.324659232770908,True,2
jinaai/jina-embeddings-v4,jinaai,visual-document-retrieval,585045,532,448.4865046296296,112.39584490740741,17,0,3.121086079336202,True,False,log_pipeline_model_count,0.561497239352128,True,1.4072962162580018,True,2
handy-computer/nemotron-3.5-asr-streaming-0.6b-gguf,handy-computer,automatic-speech-recognition,1960108,2,52.96746527777778,30.763761574074074,45,0,2.0367460487554125,False,False,log_model_age_days,0.556988121134872,True,1.3988330447859385,True,2
farbodtavakkoli/OTel-2.0-LLM-31B-IT,farbodtavakkoli,text-generation,1797286,4,6.522465277777778,0.0,26,0,3.846536576969768,True,True,log_model_age_days,0.5559066676081111,False,1.4441089452433318,True,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,sentence-similarity,55559128,1337,1610.0214699074074,182.58164351851852,67,0,4.017413327946793,True,True,log_downloads,0.5549364971607235,False,1.4200432420870435,True,2
yuxinlu1/gemma-4-12B-agentic-fable5-composer2.5-v2-3.5x-tau2-GGUF,yuxinlu1,text-generation,400218,1338,40.995752314814816,40.602916666666665,17,0,3.4005453162697816,True,True,model_id_length,0.5508541119258022,False,1.382704314951753,True,2
handy-computer/whisper-medium-gguf,handy-computer,automatic-speech-recognition,484747,0,93.90949074074074,31.44366898148148,111,0,3.2483632389861676,True,True,log_tag_count,0.5487661482392917,False,1.4192609340945677,True,2
bosonai/higgs-tts-3-4b,bosonai,text-to-speech,383830,683,55.765601851851855,20.23150462962963,113,0,3.2771986470412107,True,True,log_tag_count,0.5471937927937484,False,1.467963561230173,True,2
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,sentence-similarity,254507269,5144,1610.0214699074074,58.72971064814815,47,0,5.583473060543872,True,True,log_downloads,0.545455200714128,False,1.541915867880126,True,2
baidu/Unlimited-OCR,baidu,image-text-to-text,2598659,3574,40.59684027777778,0.809537037037037,14,0,3.411999964026674,True,True,log_days_since_update,0.5372653988927192,False,1.2859286555222347,True,2
cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder,text-ranking,87928707,293,1610.0214699074074,334.3915509259259,18,0,4.489818267585458,True,True,log_downloads,0.5099875369926744,False,1.3490304150628414,True,2
amazon/chronos-2,amazon,time-series-forecasting,24665815,382,272.37871527777776,54.50298611111111,15,0,3.1818116808558945,True,True,log_downloads,0.506261104155192,False,1.3232206598106326,True,2
google-t5/t5-small,google-t5,translation,25837868,585,1610.0214814814815,1125.894837962963,29,0,3.229582163826008,True,True,log_downloads,0.49843563314615896,False,1.2843907153852914,True,2
jhu-clsp/mmBERT-base,jhu-clsp,fill-mask,592238,227,371.17375,295.410625,1824,0,7.795076745456354,True,True,log_tag_count,0.4845904292229941,False,1.7207956533455862,True,2
google-bert/bert-base-uncased,google-bert,fill-mask,103531008,2720,1610.0214814814815,891.5373611111111,20,0,4.657904769714409,True,True,log_downloads,0.4842679940241508,False,1.3209962605423426,True,2
google/electra-base-discriminator,google,unknown,55418883,146,1610.0214699074074,881.569212962963,12,0,4.014812520878658,True,True,log_downloads,0.466713269390278,False,1.3614749411016422,True,2
Qwen/Qwen3-0.6B,Qwen,text-generation,28544146,1466,458.84712962962965,368.84274305555556,14,0,3.332084428154352,True,True,log_downloads,0.4638835445537577,False,1.2768857841515566,True,2
phanviethoang1512/qwen3.5-4b-base-osim-253991,phanviethoang1512,unknown,920964,0,21.22278935185185,20.077916666666667,3,0,2.851651151325145,False,False,log_model_age_days,0.6368028821161175,True,1.1525250198155763,False,1
NN-Dataset/tflite,NN-Dataset,unknown,5676622,1,170.3147800925926,34.74282407407407,2,0,2.649004033509484,False,False,log_tag_count,0.6270664669711331,True,1.234917943882972,False,1
pyannote/segmentation-3.0,pyannote,voice-activity-detection,6489731,1406,1041.497800925926,810.1834953703703,16,1,2.765646440477692,False,False,log_pipeline_model_count,0.6051738062206234,True,1.1622897640549004,False,1
optimum-intel-internal-testing/tiny-random-LlamaForCausalLM,optimum-intel-internal-testing,unknown,649817,0,281.5846990740741,281.5846759259259,3,0,2.805767100970729,False,False,model_id_length,0.6024902237297246,True,1.1674503616646266,False,1
optimum-intel-internal-testing/tiny-random-BlenderbotModel,optimum-intel-internal-testing,unknown,381624,0,281.58903935185185,281.5890277777778,4,0,2.7066373984208867,False,False,model_id_length,0.6002785792874982,True,1.153118919175047,False,1
